"DATE","AWAY_NAME","HOME_NAME","AWAY_2PA","AWAY_2PM","AWAY_3PA","AWAY_3PM","AWAY_FTA","AWAY_FTM","AWAY_TO","AWAY_ORB","AWAY_DRB","HOME_2PA","HOME_2PM","HOME_3PA","HOME_3PM","HOME_FTA","HOME_FTM","HOME_TO","HOME_ORB","HOME_DRB","AWAY_PTS_Q1","HOME_PTS_Q1","AWAY_PTS_Q2","HOME_PTS_Q2","AWAY_PTS_Q3","HOME_PTS_Q3","AWAY_PTS_Q4","HOME_PTS_Q4","AWAY_PTS_FINAL","HOME_PTS_FINAL"
20081028,"CLE","BOS",53,26,15,3,33,24,22,8,33,60,30,14,3,34,21,17,10,26,28,22,50,43,63,67,85,90,85,90
20081028,"MIL","CHI",64,31,14,6,20,15,19,13,19,57,30,12,5,44,33,19,14,26,26,26,52,55,75,82,95,108,95,108
20081028,"POR","LAL",60,19,24,10,14,8,14,13,31,69,30,10,7,18,15,15,9,40,14,24,34,49,53,72,76,96,76,96
20081029,"ATL","ORL",66,33,20,5,31,18,15,18,35,62,28,25,4,27,17,15,17,28,26,13,47,40,74,55,99,85,99,85
20081029,"DEN","UTA",64,32,13,4,28,18,13,7,28,71,35,8,2,28,22,18,12,34,27,28,46,50,67,75,94,98,94,98
20081029,"IND","DET",55,29,12,4,29,24,22,5,33,78,34,13,6,16,14,15,14,27,17,23,40,50,64,75,94,100,94,100
20081029,"LAL","LAC",61,31,19,10,33,25,16,14,37,56,25,22,5,23,14,18,10,22,30,27,59,44,85,57,117,79,117,79
20081029,"MEM","HOU",68,31,13,0,13,9,17,15,34,60,23,16,5,25,21,13,11,33,18,26,37,43,57,58,71,82,71,82
20081029,"MIA","NY",69,36,23,6,33,25,14,13,34,62,33,25,9,37,27,15,14,32,27,28,45,60,75,91,115,120,115,120
20081029,"MIL","OKC",58,28,18,7,26,21,20,14,29,67,31,6,1,31,22,20,13,22,24,14,50,35,79,59,98,87,98,87
20081029,"NJ","WAS",59,31,19,6,18,15,12,5,32,60,25,21,5,30,20,15,13,28,23,23,44,46,69,67,95,85,95,85
20081029,"NO","GS",65,34,17,7,27,19,14,8,34,59,27,23,9,32,22,14,11,28,27,34,56,57,85,84,108,103,108,103
20081029,"PHO","SA",64,33,15,6,27,19,10,9,30,65,35,15,5,19,13,7,7,31,19,16,49,46,74,73,103,98,103,98
20081029,"SAC","MIN",63,31,17,5,25,19,15,9,36,76,39,11,3,22,11,11,11,29,32,33,49,56,77,76,96,98,96,98
20081029,"TOR","PHI",65,26,16,10,17,13,10,10,23,64,24,20,5,28,21,18,23,33,18,21,51,45,74,65,95,84,95,84
20081030,"CHA","CLE",62,22,12,3,31,26,13,14,20,50,28,22,7,29,19,15,13,33,16,25,33,50,59,68,79,96,79,96
20081030,"HOU","DAL",65,31,14,7,32,29,11,8,37,68,31,16,4,34,28,9,10,30,32,33,62,59,85,86,112,102,112,102
20081030,"NO","PHO",54,24,24,13,28,21,13,10,23,50,30,18,7,21,14,24,7,31,30,23,56,44,81,69,108,95,108,95
20081031,"CHI","BOS",76,23,8,2,30,28,21,13,31,65,30,8,2,39,30,20,9,40,13,24,31,49,54,70,80,96,80,96
20081031,"DEN","LAC",72,35,13,3,40,34,18,15,45,81,34,16,3,34,26,14,18,32,20,28,37,55,68,76,94,94,113,103
20081031,"GS","TOR",65,31,29,11,19,13,19,17,29,66,34,12,6,30,26,14,6,30,22,28,50,51,73,75,96,96,108,112
20081031,"NY","PHI",70,25,28,7,21,16,10,16,27,84,50,5,2,19,10,20,13,49,24,31,48,60,72,91,87,116,87,116
20081031,"ORL","MEM",40,19,29,10,26,16,19,6,38,63,28,13,2,30,24,10,8,34,25,26,55,43,68,61,84,86,84,86
20081031,"SA","POR",52,29,16,9,15,14,14,5,26,65,32,17,6,24,18,6,13,24,22,21,45,51,70,78,99,100,99,100
20081031,"SAC","MIA",57,27,19,2,20,17,26,10,32,64,30,17,8,32,19,14,13,29,14,22,31,49,47,78,77,103,77,103
20081101,"BOS","IND",58,23,20,4,35,21,24,17,35,59,27,22,6,27,23,13,12,36,17,27,41,48,58,69,79,95,79,95
20081101,"CLE","NO",53,27,22,9,19,11,18,7,29,63,29,13,7,29,25,14,9,27,27,19,48,49,72,73,92,104,92,104
20081101,"DAL","MIN",67,32,16,5,20,16,12,7,31,67,30,12,1,24,22,16,10,32,31,20,53,49,67,64,95,85,95,85
20081101,"GS","NJ",57,25,19,7,52,34,17,14,27,63,29,20,6,28,21,17,16,29,24,25,52,51,85,69,105,97,105,97
20081101,"LAC","UTA",64,26,9,3,20,18,18,11,32,79,41,9,2,22,13,5,15,28,25,24,48,48,60,75,79,101,79,101
20081101,"LAL","DEN",70,27,17,6,43,32,16,15,38,52,26,22,8,30,21,19,3,35,23,21,46,52,76,76,104,97,104,97
20081101,"MEM","CHI",69,29,6,3,26,19,17,10,33,65,24,19,8,30,24,14,18,33,19,19,50,42,70,75,86,96,86,96
20081101,"MIA","CHA",51,27,21,5,27,18,11,11,16,59,32,10,5,32,21,21,12,29,18,24,41,52,68,77,87,100,87,100
20081101,"OKC","HOU",81,34,4,0,12,9,16,5,34,56,22,21,6,31,27,17,10,39,17,20,41,42,59,65,77,89,77,89
20081101,"PHI","ATL",69,29,16,6,14,12,18,15,33,66,31,25,8,11,9,10,14,27,34,18,57,44,75,66,88,95,88,95
20081101,"POR","PHO",59,28,22,9,14,13,11,9,19,52,32,17,6,30,25,12,4,32,23,29,50,49,72,80,96,107,96,107
